First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL,Parcel Number,Appraised Value,Delinquent Taxes,Delinquent Amount,Homestead Exemption,Out-of-State Owner,Neighborhood,Violation Status,Violation Description,Violation Severity
,,,,OH,,"10010 Quebec Ave, Cleveland, Oh, 44106",Cleveland,OH,44106,Code Violation,CODE,04/09/2026,CMP26012949,,75,Code violation; Chief Approved violation; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/Cap/CapDetail.aspx?Module=BuildingHousing&TabName=BuildingHousing&capID1=26BCE&capID2=00000&capID3=09640&agencyCode=COC&IsToShowInspection=,121-19-042,,No,,No,No,Fairfax,Chief Approved,Accela Citizen Access City of Cleveland Permit Portal clevelandohio.gov Login Register for an Account | more more Message Bar Record V26012966 : Build,High
,,,,OH,,8217 Dorver Ave,Cleveland,OH,44105,Condemned Property,CONDEMN,04/15/2026,CONDEMN-134-14-043,,70,Condemned property; New this week; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,134-14-043,,No,,No,No,Broadway-Slavic Village,Condemned,,
,,,,OH,,"8900 Denison Ave, Cleveland, Oh, 44102",Cleveland,OH,44102,Code Violation,CODE,04/09/2026,CMP26012864,,65,Code violation; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/Cap/CapDetail.aspx?Module=BuildingHousing&TabName=BuildingHousing&capID1=26BCE&capID2=00000&capID3=09750&agencyCode=COC&IsToShowInspection=,017-05-028,,No,,No,No,West Boulevard,VN Created & Mailed,Accela Citizen Access City of Cleveland Permit Portal clevelandohio.gov Login Register for an Account | more more Message Bar Record V26013216 : Build,Medium
,,,,OH,,"8217 Dorver Ave, Cleveland, Oh, 44105",Cleveland,OH,44105,Code Violation,CODE,04/08/2026,CMP26012618,,65,Code violation; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/Cap/CapDetail.aspx?Module=BuildingHousing&TabName=BuildingHousing&capID1=26BCE&capID2=00000&capID3=10072&agencyCode=COC&IsToShowInspection=,134-14-043,,No,,No,No,Broadway-Slavic Village,VN Created & Mailed,Accela Citizen Access City of Cleveland Permit Portal clevelandohio.gov Login Register for an Account | more more Message Bar Record V26013855 : Build,Medium
,,,,OH,,"2387 Garden Ave, Cleveland, Oh, 44109",Cleveland,OH,44109,Code Violation,CODE,04/02/2026,CMP26011971,,65,Code violation; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/Cap/CapDetail.aspx?Module=BuildingHousing&TabName=BuildingHousing&capID1=26BCE&capID2=00000&capID3=10094&agencyCode=COC&IsToShowInspection=,008-24-036,,No,,No,No,Brooklyn Centre,Open,Accela Citizen Access City of Cleveland Permit Portal clevelandohio.gov Login Register for an Account | more more Message Bar Record V26013878 : Build,Medium
,,,,OH,,"462 E 123Rd St, Cleveland, Oh, 44108",Cleveland,OH,44108,Code Violation,CODE,03/23/2026,CMP26009985,,65,Code violation; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/Cap/CapDetail.aspx?Module=BuildingHousing&TabName=BuildingHousing&capID1=26BCE&capID2=00000&capID3=08047&agencyCode=COC&IsToShowInspection=,111-10-106,,No,,No,No,Glenville,VN Created & Mailed,Accela Citizen Access City of Cleveland Permit Portal clevelandohio.gov Login Register for an Account | more more Message Bar Record V26010116 : Build,Medium
,,,,OH,,3273 E 139Th St,Cleveland,OH,44120,Condemned Property,CONDEMN,04/09/2026,CONDEMN-130-11-070,,65,Condemned property; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,130-11-070,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,3654 E 140Th St,Cleveland,OH,44120,Condemned Property,CONDEMN,04/09/2026,CONDEMN-137-13-045,,65,Condemned property; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,137-13-045,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,4061 E 131,Cleveland,OH,44105,Condemned Property,CONDEMN,04/09/2026,CONDEMN-138-11-003,,65,Condemned property; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,138-11-003,,No,,No,No,Union-Miles,Condemned,,
,,,,OH,,17608 S Miles Rd,Cleveland,OH,44128,Condemned Property,CONDEMN,04/09/2026,CONDEMN-143-18-030,,65,Condemned property; Address found; Multi-hit parcel,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,143-18-030,,No,,No,No,Lee-Seville,Condemned,,
